Date,Week,Supplier,Description,Material Type,Material Length (mm),Material Width (mm),Material Thickness (mm),Quantity,Cost Inc VAT & Delivery,Cost Ex VAT,Unit Cost,Checked In,Payment Method,JT has invoice,STREAM,JOB REF/NOTES,,Supplier,,,,,,
01/03/2025,9,Northumberland Estates,Rent,Overhead,,,,,,"£1,415.00",,TRUE,,TRUE,,,,Aluminium Warehouse,,,,,,
01/03/2025,9,NBNE,Salaries,Overhead,,,,,,"£6,300.00",,TRUE,,TRUE,,,,Amazon,,,,,,
01/03/2025,9,NBNE,DIRTRANS,Overhead,,,,,,"£3,000.00",,TRUE,,TRUE,,,,TROTEC,,,,,,
01/03/2025,9,Unicorn Accountancy,Accounting Fee,Overhead,,,,,,£708.00,,TRUE,,TRUE,,,,Avensure,,,,,,
01/03/2025,9,Avensure,HR Consultancy,Overhead,,,,,,£130.00,,TRUE,,TRUE,,,,Dove,,,,,,
01/03/2025,9,SJP,Pension,Overhead,,,,,,£518.16,,TRUE,,TRUE,,,,Avensure,,,,,,
01/03/2025,9,Utilities,"Gas, Electricity, Water (water 54.00)",Overhead,,,,,,£540.00,,TRUE,,TRUE,,,,Dove,,,,,,
01/03/2025,9,Directors insurance,Insurance,Overhead,,,,,,£23.00,,TRUE,,TRUE,,,,Dye Sublimation,,,,,,
01/03/2025,9,HMRC,PAYE,Overhead,,,,,,"£1,241.00",,TRUE,,TRUE,,,,eBay,,,,,,
01/03/2025,9,NEST,Employee Pension,Overhead,,,,,,£400.00,,TRUE,,TRUE,,,,Employers Pension,,,,,,
01/03/2025,9,Zen Internet,Broadband,Overhead,,,,,,£30.00,,TRUE,,TRUE,,,,Envelopes,,,,,,
01/03/2025,9,NCC,Rates and rubbish (rates 125.00),Overhead,,,,,,£380.00,,TRUE,,TRUE,,,,First Fix Plastics,,,,,,
01/03/2025,9,Premium Credit,NBNE Insurance,Overhead,,,,,,£750.00,,TRUE,,TRUE,,,,Gas,,,,,,
01/03/2025,9,Zen Stores,D2C tool,Overhead,,,,,,£149.00,,TRUE,,TRUE,,,,Grafityp,,,,,,
01/03/2025,9,Subscription,MechEng TF,Overhead,,,,,,£36.19,,TRUE,,TRUE,,,,Granthams GT Ltd,,,,,,
01/03/2025,9,IONOS,Email and web hosting,Overhead,,,,,,£0.00,,TRUE,,TRUE,,,,Kite Packaging,,,,,,
01/03/2025,9,EzViz,"Security Camera Data, Monthly fee",Overhead,,,,,,£4.99,,TRUE,,TRUE,,,,LaserPly,,,,,,
01/03/2025,9,Canva,Design software,Overhead,,,,,,£10.00,,TRUE,,TRUE,,,,Longforte,,,,,,
01/03/2025,9,Microsoft,Software,Overhead,,,,,,£7.99,,TRUE,,TRUE,,,,Metal Supermarkets,,,,,,
01/03/2025,9,Royal Mail,D2C shipping estimate for month,Shipping,,,,,,"£2,800.00",,TRUE,,TRUE,,,,Longforte,,,,,,
01/03/2025,9,DHL,F2C shipping estimate for month,Shipping,,,,,,£800.00,,TRUE,,TRUE,,,,Screwfix,,,,,,
03/03/2025,,First Fix Plastics,Black dibond - 8x4,Dibond,,,,1 SHEET,,£48.00,,TRUE,Account,TRUE,,,,UPS,,,,,,
03/03/2025,,First Fix Plastics,Black 5mm acrylic cut into thirds,Acrylic,,,,1 SHEET,,£235.00,,TRUE,Account,TRUE,,,,Colourbyte,,,,,,
03/03/2025,,First Fix Plastics,Silver dibond cut into 4 - 610x1220,Dibond,,,,1 SHEET,,£53.00,,TRUE,Account,TRUE,,,,dhl,,,,,,
04/03/2025,,UPS,UK Shipment,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,Hanover Dairy,,,,,,
04/03/2025,,Novachrome,Silver sub 0.48,sublimate material,,,,50,,£166.20,,TRUE,Lloyds,FALSE,,,,Novachrome,,,,,,
04/03/2025,,Novachrome,Gold sub 0.48,sublimate material,,,,25,£266.92,£83.10,,TRUE,Lloyds,FALSE,,LINK,,Megacold,,,,,,
05/03/2025,,First Fix Plastics,Yellow Ink Mimaki - 1 litre,Ink,,,,,,£75.00,,FALSE,Account,FALSE,,,,Rennie Tools,,,,,,
06/03/2025,,UPS,UK Shipment,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,Palletways,,,,,,
06/03/2025,,dhl,usa shipment,Shipping,,,,,,£149.95,,TRUE,Lloyds,FALSE,,,,ABC Cleaning Services,,,,,,
06/03/2025,,Amazon,A6 mailers,Packing & Admin,,,,,£26.99,£22.49,,TRUE,Lloyds,FALSE,,,,TURNBULLS,,,,,,
07/03/2025,,Screwfix,Spray Adhesive,Glue,,,,,,£10.18,,TRUE,Lloyds,FALSE,,LINK,,XL Displays,,,,,,
07/03/2025,,Dongguan Thunderlaser,Laser power supply and shipping for the Beast,General,,,,,,£202.00,,FALSE,,FALSE,,,,VEVOR,,,,,,
07/03/2025,,Grafityp,Yellow Mutoh Ink,Ink,,,,,£68.71,£94.39,,TRUE,Lloyds,TRUE,,link,,INKNTONER,,,,,,
10/03/2025,,Envelopes,Replacement bags for Raoul - 160x 160 x 1000 bags to cover,Packing & Admin,,,,,£17.02,£14.18,,TRUE,,FALSE,,,,B&M BARGAINS,,,,,,
10/03/2025,,Display Wizard,Cable Display Kit A1 / 3 Panel / Landscape,Fixings,,,,,£176.39,£146.99,,FALSE,Lloyds,FALSE,LOCAL,LINK,,ARGOS,,,,,,
10/03/2025,,First Fix Plastics,Lime Green 5mm Acrylic,Acrylic,,,,,£35.69,£29.74,,TRUE,Account,TRUE,LOCAL,LINK,,Dongguan Thunderlaser,,,,,,
10/03/2025,,TRADESIGNZ,4200mm Trough Light,General,,,,,£460.80,£384.00,,FALSE,Lloyds,FALSE,LOCAL,LINK,,Display Wizard,,,,,,
10/03/2025,,First Fix Plastics,1m x 1m x 10mm WHITE ACRYLIC,Acrylic,,,,,£102.85,£85.71,,FALSE,Account,FALSE,LOCAL,,,TRADESIGNZ,,,,,,
10/03/2025,,UK POS,Black Single Prong Grid Mesh Hook,Fixings,,,,,£20.64,£17.20,,FALSE,Lloyds,FALSE,LOCAL,LINK,,UK POS,,,,,,
11/03/2025,,Rennie Tools,"CNC bits - 2.5MM, 1.5MM, Engracing pieces",CNC Bits,,,,,£60.50,£50.42,,TRUE,Lloyds,FALSE,,LINK,,Curry and Sons,,,,,,
11/03/2025,,First Fix Plastics,Mimaki clear ink - old style long delay,Ink,,,,,,£135.00,,TRUE,Account,FALSE,,,,VISTAPRINT,,,,,,
11/03/2025,,Novachrome,silver sub 0.48 x 50 sheets,sublimate material,,,,,,£166.20,,TRUE,Lloyds,FALSE,,,,Sign Pro,,,,,,
11/03/2025,,Novachrome,white sub 0.48 x 25,sublimate material,,,,,£266.32,£82.50,,TRUE,Lloyds,FALSE,,link,,ALIEXPRESS,,,,,,
11/03/2025,,Curry and Sons,47KG Gas bottle,Gas Bottles,,,,,,£85.00,,TRUE,Lloyds,TRUE,,,,UK Printed Lanyards,,,,,,
11/03/2025,,Curry and Sons,13Kg gas bottle,Gas Bottles,,,,,,£45.00,Not sure of short bottle price,TRUE,Lloyds,TRUE,,,,,,,,,,
11/03/2025,,dhl,Canada shipment,Shipping,,,,,,£45.36,,TRUE,Lloyds,FALSE,,,,,,,,,,
12/03/2025,,Screwfix,Drill bits,Mechanics,,,,,£5.29,£4.41,,FALSE,Lloyds,FALSE,,,,,,,,,,
12/03/2025,,UPS,UK Shipment,Shipping,,,,,,£2.40,,FALSE,Lloyds,FALSE,,,,,,,,,,
12/03/2025,,Amazon,50mm STANDOFFS,Fixings,,,,,£7.49,£6.24,,FALSE,TF Expense,FALSE,LOCAL,LINK,,,,,,,,
12/03/2025,,VISTAPRINT,1000 Flyers,General,,,,,£67.49,£56.24,,FALSE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
12/03/2025,,First Fix Plastics,2 black 5mm acrylic sheets cut into thirds,Acrylic,,,,2,,£470.00,,TRUE,Account,TRUE,,,,,,,,,,
12/03/2025,,First Fix Plastics,3 8x4 white dibond sheets,Dibond,,,,3,,£75.00,,TRUE,Account,TRUE,,,,,,,,,,
12/03/2025,,First Fix Plastics,3 8x2 white dibond sheets - FOR CLAYPORT JEWELLERS,Dibond,,,,3,,£75.00,,TRUE,Account,TRUE,LOCAL,,,,,,,,,
12/03/2025,,First Fix Plastics,White dibond at 1867 x 1120,Dibond,,,,1,,£25.00,,TRUE,Account,TRUE,LOCAL,,,,,,,,,
12/03/2025,,First Fix Plastics,White dibond at 1867 x 1116,Dibond,,,,1,,£25.00,,TRUE,Account,TRUE,LOCAL,,,,,,,,,
12/03/2025,,First Fix Plastics,White dibond at 556 x 1384,Dibond,,,,1,,£25.00,,TRUE,Account,TRUE,LOCAL,,,,,,,,,
13/03/2025,,Sign Pro,Vinyl Print Beadnell,Vinyl,,,,2,,£88.00,,TRUE,Lloyds,TRUE,LOCAL,,,,,,,,,
13/03/2025,,Sign Pro,Vinyl Print,Vinyl,,,,1,,£21.00,,TRUE,Lloyds,TRUE,LOCAL,,,,,,,,,
13/03/2025,,Sign Pro,Vinyl Print reverse white 3 x 2m,Vinyl,,,,1,,£83.00,,TRUE,Lloyds,TRUE,LOCAL,,,,,,,,,
13/03/2025,,Sign Pro,Shipping,Packing & Admin,,,,1,,£8.00,,TRUE,Lloyds,TRUE,,,,,,,,,,
13/03/2025,,dhl,usa shipment,Shipping,,,,,,£100.66,,TRUE,Lloyds,TRUE,,,,,,,,,,
14/03/2025,,Amazon,Blue roll - amazon,General,,,,,£8.19,£6.82,,FALSE,Lloyds,FALSE,,,,,,,,,,
17/03/2025,,First Fix Plastics,3 x A Frames/Pavement Signs,General,,,,3,,£205.29,£68.43,FALSE,Account,FALSE,LOCAL,,,,,,,,,
17/03/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
17/03/2025,,Screwfix,"4m, x 25mm black screws for hulk",General,,,,,£9.99,£8.32,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
17/03/2025,,First Fix Plastics,Orange acrylic,Sheet material,,,,,,£125.85,,TRUE,Lloyds,TRUE,LOCAL,,,,,,,,,
18/03/2025,,Screwfix,Filler,General,,,,,£4.39,£3.66,,TRUE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
19/03/2025,,ALIEXPRESS,MAINTENANCE BOX EPSON,General,,,,,£11.74,£9.78,,FALSE,TF Expense,FALSE,OVERHEADS,LINK,,,,,,,,
19/03/2025,,Grafityp,Mutoh white ink,Ink,,,,,,£51.78,,TRUE,Lloyds,FALSE,,,,,,,,,,
19/03/2025,,Grafityp,Mutoh black ink,Ink,,,,,,£69.00,,TRUE,Lloyds,FALSE,,,,,,,,,,
19/03/2025,,Grafityp,Mutoh Varnish,Ink,,,,,£245.39,£68.71,,TRUE,Lloyds,FALSE,,link,,,,,,,,
19/03/2025,,UPS,uk craft shipment,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
19/03/2025,,Novachrome,WHITE SUB 0.48 x 25,sublimate material,,,,25,,£82.50,,TRUE,Lloyds,FALSE,,,,,,,,,,
19/03/2025,,Novachrome,Gold sub 0.48,sublimate material,,,,40,,£132.96,,TRUE,Lloyds,FALSE,,,,,,,,,,
19/03/2025,,Novachrome,SILVER SUB 0.48,sublimate material,,,,80,£510.92,£265.92,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
19/03/2025,,Kite Packaging,A4 BOARD BACKED ENVELOPES,Packing & Admin,,,,,,£69.70,,TRUE,Account,FALSE,,,,,,,,,,
19/03/2025,,Kite Packaging,CARDBOARD SHEETS,Packing & Admin,,,,,,£81.18,,TRUE,Account,FALSE,,,,,,,,,,
19/03/2025,,Kite Packaging,SIZE 7 JIFFYS,Packing & Admin,,,,,,£39.88,,TRUE,Account,FALSE,,,,,,,,,,
19/03/2025,,Kite Packaging,SIZE 3 JIFFYS,Packing & Admin,,,,,,£18.70,,TRUE,Account,FALSE,,,,,,,,,,
19/03/2025,,Kite Packaging,BROWN TAPE,Packing & Admin,,,,,,£4.50,,TRUE,Account,FALSE,,,,,,,,,,
19/03/2025,,Kite Packaging,LARGE BOXES,Packing & Admin,,,,,£297.93,£34.31,,TRUE,Account,FALSE,,LINK,,,,,,,,
19/03/2025,,Screwfix,SPRAY GLUE,Adhesive,,,,3 CANS,,£15.27,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
20/03/2025,,First Fix Plastics,2 SHEETS OF BLACK 5MM ACRYLIC CUT INTO THIRDS,,,,,2 SHEETS,,£470.00,,FALSE,Account,TRUE,,,,,,,,,,
20/03/2025,,Screwfix,WIRING ACCESSORIES (VPZ),General,,,,,£10.08,£8.40,,FALSE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
20/03/2025,,dhl,USA SHIPMENT,Shipping,,,,,,£251.51,,TRUE,Lloyds,TRUE,,,,,,,,,,
21/03/2025,,Granthams GT Ltd,Roland white 220 ml,Ink,,,,220ml,,£38.00,,TRUE,Lloyds,FALSE,,,,,,,,,,
21/03/2025,,Granthams GT Ltd,Roland Magenta 500ml,Ink,,,,500ml,£154.68,£76.95,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
24/03/2025,,Amazon,Toilet roll,General,,,,,£34.49,£28.74,,TRUE,Lloyds,FALSE,,,,,,,,,,
24/03/2025,,Amazon,A4 Poly Pockets,Packing & Admin,,,,,£6.99,£5.82,,TRUE,Lloyds,FALSE,,,,,,,,,,
24/03/2025,,Amazon,Print cartridge for Jo,Packing & Admin,,,,,£19.89,£16.57,,TRUE,Lloyds,FALSE,,,,,,,,,,
24/03/2025,,First Fix Plastics,White MD3 gloss,,,,,,PRICE TBC,£120.00,PRICE TBC,TRUE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
24/03/2025,,First Fix Plastics,Ultra Jet DLE-JX Yellow mimaki ink,General,,,,,,£130.00,PRICE TBC,TRUE,Lloyds,FALSE,,,,,,,,,,
24/03/2025,,Colourbyte,Epson cyan ink,Ink,,,,,,£20.95,,TRUE,Lloyds,FALSE,,,,,,,,,,
24/03/2025,,Colourbyte,Epson Magenta Ink,Ink,,,,,,£20.95,,TRUE,Lloyds,FALSE,,,,,,,,,,
24/03/2025,,Colourbyte,Epson Yello Ink,Ink,,,,,,£20.95,,TRUE,Lloyds,FALSE,,,,,,,,,,
24/03/2025,,Colourbyte,Epson black ink,Ink,,,,,,£20.95,,TRUE,Lloyds,FALSE,,,,,,,,,,
24/03/2025,,Colourbyte,S-Race vivid epson paper,Vinyl,,,,,£214.60,£85.08,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
24/03/2025,,First Fix Plastics,White dibond t 8x4,Dibond,,,,4 sheets,,£100.00,,TRUE,Account,FALSE,,,,,,,,,,
25/03/2025,,UK Printed Lanyards,Printed lanyards,General,,,,,£150.01,£125.01,,FALSE,,FALSE,LOCAL,,,,,,,,,
25/03/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
26/03/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
26/03/2025,,First Fix Plastics,Overlaminate,Overlaminate,,,,,,£83.69,,TRUE,Account,FALSE,,,,,,,,,,
26/03/2025,,VISTAPRINT,CLAYPORT FLYERS AND BCARDS,General,,,,,£63.05,£52.53,,FALSE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
27/03/2025,,Amazon,A6 Mailers x 2000,Packing & Admin,,,,,£53.98,£44.98,,FALSE,Lloyds,FALSE,,,,,,,,,,
27/03/2025,,Kite Packaging,A4 BOARD BACKED ENVELOPES,Packing & Admin,,,,,£73.01,£60.84,,TRUE,Account,FALSE,,link,,,,,,,,
28/03/2025,,Grafityp,Mutoh ink Cyan large version,Ink,,,,,£167.09,£139.24,,FALSE,Lloyds,FALSE,,link,,,,,,,,
31/03/2025,,Screwfix,Brackets,Fixings,,,,,£1.49,£1.24,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
30/03/2025,,Screwfix,AA Batteries,General,,,,,£10.99,£9.16,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
31/03/2025,,Amazon,Twine,Fixings,,,,2,£15.98,£13.32,£6.66,FALSE,,FALSE,,,,,,,,,,
01/03/2025,9,Northumberland Estates,Rent,Overhead,,,,,,"£1,415.00",,TRUE,,TRUE,,,,Aluminium Warehouse,,,,Acrylic,Account,D2C METAL PLAQUES
01/03/2025,9,NBNE,Salaries,Overhead,,,,,,"£6,300.00",,TRUE,,TRUE,,,,Amazon,,,,Adhesive,Lloyds,D2C PERSONALISED MEMORIALS
01/03/2025,9,NBNE,DIRTRANS,Overhead,,,,,,"£3,000.00",,TRUE,,TRUE,,,,TROTEC,,,,,,LOCAL
01/03/2025,9,Unicorn Accountancy,Accounting Fee,Overhead,,,,,,£708.00,,TRUE,,TRUE,,,,Avensure,,,,Aluminium Sheet,TF Expense,OVERHEADS
01/03/2025,9,Avensure,HR Consultancy,Overhead,,,,,,£130.00,,TRUE,,TRUE,,,,Dove,,,,Dibond,AMEX,
01/03/2025,9,SJP,Pension,Overhead,,,,,,£518.16,,TRUE,,TRUE,,,,Avensure,,,,Aluminium Sheet,TF Expense,
01/03/2025,9,Utilities,"Gas, Electricity, Water (water 54.00)",Overhead,,,,,,£540.00,,TRUE,,TRUE,,,,Dove,,,,Dibond,AMEX,
01/03/2025,9,Directors insurance,Insurance,Overhead,,,,,,£23.00,,TRUE,,TRUE,,,,Dye Sublimation,,,,Fixings,,
01/03/2025,9,HMRC,PAYE,Overhead,,,,,,"£1,241.00",,TRUE,,TRUE,,,,eBay,,,,General,,
01/03/2025,9,NEST,Employee Pension,Overhead,,,,,,£400.00,,TRUE,,TRUE,,,,Employers Pension,,,,Glue,,
01/03/2025,9,Zen Internet,Broadband,Overhead,,,,,,£30.00,,TRUE,,TRUE,,,,Envelopes,,,,HIPS,,
01/03/2025,9,NCC,Rates and rubbish (rates 125.00),Overhead,,,,,,£380.00,,TRUE,,TRUE,,,,First Fix Plastics,,,,Ink,,
01/03/2025,9,Premium Credit,NBNE Insurance,Overhead,,,,,,£750.00,,TRUE,,TRUE,,,,Gas,,,,Mechanics,,
01/03/2025,9,Zen Stores,D2C tool,Overhead,,,,,,£179.00,,TRUE,,TRUE,,,,Grafityp,,,,Overhead,,
01/03/2025,9,Subscription,MechEng TF,Overhead,,,,,,£36.19,,TRUE,,TRUE,,,,Granthams GT Ltd,,,,Overlaminate,,
01/03/2025,9,IONOS,Email and web hosting,Overhead,,,,,,£0.00,,TRUE,,TRUE,,,,Kite Packaging,,,,Packing & Admin,,
01/03/2025,9,EzViz,"Security Camera Data, Monthly fee",Overhead,,,,,,£4.99,,TRUE,,TRUE,,,,LaserPly,,,,Sheet material,,
01/03/2025,9,Canva,Design software,Overhead,,,,,,£10.00,,TRUE,,TRUE,,,,Longforte,,,,PPE,,
01/03/2025,9,Microsoft,Software,Overhead,,,,,,£7.99,,TRUE,,TRUE,,,,Metal Supermarkets,,,,Sheet material,,
01/03/2025,9,Royal Mail,D2C shipping estimate for month,Shipping,,,,,,"£2,800.00",,TRUE,,TRUE,,,,Longforte,,,,Shipping,,
01/03/2025,9,DHL,F2C shipping estimate for month,Shipping,,,,,,£800.00,,TRUE,,FALSE,,,,Screwfix,,,,Vinyl,,
01/04/2025,,Novachrome,Gold sub,Sublimation Material,,,,50,,£166.20,,FALSE,Lloyds,FALSE,,,,Novachrome,,,,Sublimation Material,,
01/04/2025,,Novachrome,Silver Sub,Sublimation Material,,,,75,,£249.30,,FALSE,Lloyds,FALSE,,,,UPS,,,,CNC BITS,,
01/04/2025,,Novachrome,White sub,Sublimation Material,,,,25,£528.22,£82.50,,FALSE,Lloyds,FALSE,,link,,GRAPHTECGB,,,,,,
01/04/2025,,First Fix Plastics,White dibond 8x4,Dibond,,,,4 sheets,,£100.00,,TRUE,Account,FALSE,,,,BPS,,,,,,
01/04/2025,,First Fix Plastics,Black acrylic cut into thirds,Acrylic,,,,3 large sheets,,£470.00,,TRUE,Account,FALSE,,,,DHL,,,,,,
01/04/2025,,First Fix Plastics,Masking tape,General,,,,1 roll,,£100.00,PRICE TBC,TRUE,Account,FALSE,,,,TRADESIGNZ,,,,,,
01/04/2025,,Amazon,200 cleaning swabs,General,,,,,£16.90,£14.08,,FALSE,Lloyds,FALSE,,,,OPTLASERS,,,,,,
01/04/2025,,Screwfix,spray adhesive,Adhesive,,,,4 cans,,£17.00,,TRUE,Lloyds,FALSE,,link,,RENNIE,,,,,,
02/04/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,HSQE,,,,,,
02/04/2025,,GRAPHTECGB,White mutoh ink - 500ml - emailed 020425,Ink,,,,,£101.99,£90.00,,FALSE,,FALSE,,,,WM CURRY AND SONS,,,,,,
01/04/2025,,Screwfix,"Fixings, Sanding Tool",General,,,,,£12.68,£10.57,,FALSE,Lloyds,FALSE,,LINK,,LABELS 4 YOU.CO.UK,,,,,,
02/04/2025,,TROTEC,1000mm x 600mm x 2mm BRASS,Sheet material,,,,,£244.20,£203.50,,FALSE,Account,FALSE,,LINK,,COLOURBYTE,,,,,,
02/04/2025,,BPS,SCAFFOLDING PARTS,Fixings,,,,,£249.49,£207.91,,FALSE,Lloyds,FALSE,,LINK,,COLOURBYTE,,,,,,
03/04/20256,,First Fix Plastics,A Frame Alnwick Gallery,General,,,,,,£68.43,,FALSE,,FALSE,LOCAL,,,COLOURBYTE,,,,,,
