Date,Week,Supplier,Description,Material Type,Material Length (mm),Material Width (mm),Material Thickness (mm),Quantity,Cost Inc VAT & Delivery,Cost Ex VAT,Unit Cost,Checked In,Payment Method,JT has invoice,STREAM,JOB REF/NOTES,,Supplier,,,,,,
03/04/2025,,DHL,USA Shipment,Shipping,,,,,,£234.00,,TRUE,Lloyds,FALSE,,,,COLOURBYTE,,,,,,
04/04/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
04/04/2025,,First Fix Plastics,Silver Dibond cut into 610x1220 panels,Dibond,,,,4 sheets,,£150.00,PRICE TBC,TRUE,Account,FALSE,,,,,,,,,,
04/04/2025,,First Fix Plastics,Black hips 1.5mm cut into 610 x 1220 sheets,HIPS,,,,2 sheets cut into 4,,£150.00,PRICE TBC,TRUE,Account,FALSE,,,,,,,,,,
04/04/2025,,Kite Packaging,A4 board backed envelops,Packing & Admin,,,,250,,£30.42,,FALSE,Account,FALSE,,,,,,,,,,
04/04/2025,,Kite Packaging,Cardboard sheets,Packing & Admin,,,,90 sheets,£133.92,£81.18,,FALSE,Account,FALSE,,LINK,,,,,,,,
04/04/2025,,GRAPHTECGB,800ml Varnish,Ink,,,,,,£140.00,PRICE TBC,FALSE,Lloyds,FALSE,,,,,,,,,,
04/04/2025,,Amazon,AAA Batteries,General,,,,,,£7.41,,TRUE,Lloyds,FALSE,,,,,,,,,,
07/04/2025,,TRADESIGNZ,WHAT IS THIS?,Fixings,,,,,£8.89,,,FALSE,,FALSE,,,,,,,,,,
07/04/2025,,TRADESIGNZ,LIGHT FIXING,Fixings,,,,,£281.14,£234.28,,FALSE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
09/04/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
09/04/2025,,First Fix Plastics,Sign Locators,Fixings,,,,,,£36.00,,FALSE,Account,FALSE,,,,,,,,,,
09/04/2025,,DHL,CANADA SHIPMENT,Shipping,,,,,,£43.34,,TRUE,Lloyds,FALSE,,,,,,,,,,
09/04/2025,,Kite Packaging,size 3 kite mailers,Packing & Admin,,,,400,,£46.74,,TRUE,Account,FALSE,,,,,,,,,,
09/04/2025,,Kite Packaging,A4 board backed envelops,Packing & Admin,,,,2 boxes,£92.59,£30.42,,TRUE,Account,FALSE,,LINK,,,,,,,,
09/04/2025,,First Fix Plastics,ACM,Sheet material,,,,,,£150.00,,FALSE,Account,FALSE,,,,,,,,,,
09/04/2025,,DHL,FRANCE SHIPMENT,Shipping,,,,,,£37.91,,TRUE,Lloyds,FALSE,,,,,,,,,,
10/04/2025,,Novachrome,Copper Sub,Sublimation Material,,,,50,,£114.00,,FALSE,Lloyds,FALSE,,,,,,,,,,
10/04/2025,,Novachrome,Silver Sub,Sublimation Material,,,,125,,£415.50,,FALSE,Lloyds,FALSE,,,,,,,,,,
10/04/2025,,Novachrome,Gold Sub,Sublimation Material,,,,100,,£332.40,,FALSE,Lloyds,,,,,,,,,,,
10/04/2025,,Novachrome,White Sub,Sublimation Material,,,,25,£993.52,£72.00,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
10/04/2025,,OPTLASERS,LASER FIXINGS FOR AVID,General,,,,,£334.42,£334.42,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
10/04/2025,,DHL,AUSTRALIA SHIPMENT,Shipping,,,,,,£50.00,,TRUE,Lloyds,FALSE,,,,,,,,,,
10/04/2025,,DHL,GERMANY SHIPMENT,Shipping,,,,,,£36.53,,TRUE,Lloyds,FALSE,,,,,,,,,,
11/04/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
11/04/2025,,RENNIE,CNC BIT 1mm,CNC BITS,,,,,,£24.95,,FALSE,Lloyds,FALSE,,,,,,,,,,
11/04/2025,,RENNIE,CNC BITS 2.5mm,CNC BITS,,,,,£65.88,£29.95,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
11/04/2025,,First Fix Plastics,black 5mm acrylic cut into thirds - 3 sheets,Acrylic,,,,3 large sheets,,£459.00,,TRUE,Account,FALSE,,,,,,,,,,
12/04/2025,,Screwfix,BATTERY,General,,,,,£39.99,£47.99,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
12/04/2025,,Screwfix,WALL PLUGS,Fixings,,,,,£1.65,£1.98,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
14/04/2025,,UPS,uk shipment,Shipping,,,,,,£2.40,,TRUE,Lloyds,TRUE,,,,,,,,,,
15/04/2025,,Amazon,Blue roll - 6 rolls,General,,,,,£14.36,£11.97,,TRUE,Lloyds,FALSE,,,,,,,,,,
15/04/2025,,Amazon,XL rubber gloves,PPE,,,,,£5.99,£4.99,,FALSE,Lloyds,FALSE,,,,,,,,,,
15/04/2025,,HSQE,Bundle of Accredited Online H&S Courses,General,,,,,£48.00,£40.00,,TRUE,Lloyds,TRUE,,,,,,,,,,
16/04/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
16/04/2025,,First Fix Plastics,5 sheets of white dibond at 8x4,Dibond,,,,,,£125.00,,FALSE,Account,FALSE,,,,,,,,,,
16/04/2025,,First Fix Plastics,1 sheet of gold dibond cut to 610x1220,Dibond,,,,,,£250.00,EST,FALSE,Account,FALSE,,,,,,,,,,
16/04/2025,,First Fix Plastics,1 sheet of silver dibond cut to 610 x 1220,Dibond,,,,,,£153.00,EST,FALSE,Account,FALSE,,,,,,,,,,
17/04/2025,,Kite Packaging,BOARD BACKED A4,Packing & Admin,,,,,£73.01,£60.84,,FALSE,Account,FALSE,,LINK,,,,,,,,
17/04/2025,,GRAPHTECGB,800ml CYAN MUTOH INK,Ink,,,,,,£140.00,EST,FALSE,Lloyds,FALSE,,,,,,,,,,
17/04/2025,,GRAPHTECGB,500ml White MUTOH INK,Ink,,,,,,£140.00,EST,FALSE,Lloyds,FALSE,,,,,,,,,,
17/04/2025,,UPS,uk shiPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
21/04/2025,,WM CURRY AND SONS,GAS bottle - 47lg,General,,,,,,£90.00,,FALSE,Lloyds,FALSE,,,,,,,,,,
21/04/2025,,LABELS 4 YOU.CO.UK,Labels for amazon shipments,Packing & Admin,,,,,,£29.99,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
22/04/2025,,Screwfix,4 cans of spray adhesive,Adhesive,,,,,,£17.00,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
22/04/2025,,UPS,uk shipment,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
22/04/2025,,TROTEC,BRASS,Sheet material,,,,,£244.20,£203.50,,TRUE,Account,FALSE,,LINK,,,,,,,,
23/04/2025,,First Fix Plastics,5 sheets of single sided white dibond,Dibond,,,,,,£125.00,,TRUE,Account,FALSE,,,,,,,,,,
23/04/2025,,Amazon,6x4 Label Printer,General,,,,,£89.99,£74.99,,TRUE,TF Expense,FALSE,,LINK,,,,,,,,
23/04/2025,,DHL,US SHIPMENT,Shipping,,,,,,£243.68,,TRUE,Lloyds,FALSE,,,,,,,,,,
24/04/2025,,Kite Packaging,5 packs of cardboard sheets,Packing & Admin,,,,75 sheets,£81.18,£67.65,,FALSE,Account,FALSE,,LINK,,,,,,,,
24/04/2025,,DHL,FRENCH SHIPMENT,Shipping,,,,,,£36.66,,TRUE,Lloyds,FALSE,,,,,,,,,,
25/04/2025,,UPS,uk shipment,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
25/04/2025,,Screwfix,PLUG,General,,,,,£1.05,£0.88,,TRUE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
25/04/2025,,Screwfix,ELECTRICAL COMPONENTS,General,,,,,£22.22,£18.52,,TRUE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
25/04/2025,,Amazon,Sublimation tape,General,,,,,£7.67,£6.39,,FALSE,Lloyds,FALSE,,,,,,,,,,
25/04/2025,,First Fix Plastics,Black acrylic cut into thirds,Acrylic,,,,,,£253.00,,TRUE,Account,FALSE,,,,,,,,,,
28/04/2025,,Amazon,Mouse mats,,,,,,,£28.93,,TRUE,Lloyds,FALSE,,,,,,,,,,
30/04/2025,,Kite Packaging,BOARD BACKED A4,Packing & Admin,,,,500,£73.01,£60.84,,FALSE,Account,FALSE,,,,,,,,,,
30/04/2025,,COLOURBYTE,EPSON YELLOW INK,Ink,,,,,,£20.95,,FALSE,Lloyds,FALSE,,,,,,,,,,
30/04/2025,,COLOURBYTE,EPSON MAGENTA INK,Ink,,,,,,£20.95,,FALSE,Lloyds,FALSE,,,,,,,,,,
30/04/2025,,COLOURBYTE,EPSON BLACK INK,Ink,,,,,,£20.95,,FALSE,Lloyds,FALSE,,,,,,,,,,
30/04/2025,,COLOURBYTE,EPSON 24INCH PAPER X2 ROLLS,Ink,,,,,,£85.08,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
30/04/2025,,Novachrome,WHITE SUB,Sublimation Material,,,,,,£72.00,,FALSE,Lloyds,FALSE,,,,,,,,,,
30/04/2025,,Novachrome,SILVER SUB,Sublimation Material,,,,,£315.62,£225.00,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
01/05/2025,18,Northumberland Estates,Rent,Overhead,,,,,,"£1,415.00",,TRUE,,TRUE,,,,Aluminium Warehouse,,,,Acrylic,Account,D2C METAL PLAQUES
01/05/2025,18,NBNE,Salaries,Overhead,,,,,,"£7,300.00",,TRUE,,TRUE,,,,Amazon,,,,Adhesive,Lloyds,D2C PERSONALISED MEMORIALS
01/05/2025,18,NBNE,DIRTRANS,Overhead,,,,,,"£3,000.00",,TRUE,,TRUE,,,,TROTEC,,,,,TF WISE CARD,LOCAL
01/05/2025,18,Unicorn Accountancy,Accounting Fee,Overhead,,,,,,£708.00,,TRUE,,TRUE,,,,Avensure,,,,Aluminium Sheet,TF Expense,OVERHEADS
01/05/2025,18,Avensure,HR Consultancy,Overhead,,,,,,£130.00,,TRUE,,TRUE,,,,Dove,,,,Dibond,AMEX,
01/05/2025,18,SJP,Pension,Overhead,,,,,,£518.16,,TRUE,,TRUE,,,,Avensure,,,,Aluminium Sheet,TF Expense,
01/05/2025,18,Utilities,"Gas, Electricity, Water (water 54.00)",Overhead,,,,,,£540.00,,TRUE,,TRUE,,,,Dove,,,,Dibond,AMEX,
01/05/2025,18,Directors insurance,Insurance,Overhead,,,,,,£23.00,,TRUE,,TRUE,,,,Dye Sublimation,,,,Fixings,,
01/05/2025,18,HMRC,PAYE,Overhead,,,,,,"£1,241.00",,TRUE,,TRUE,,,,eBay,,,,General,,
01/05/2025,18,NEST,Employee Pension,Overhead,,,,,,£400.00,,TRUE,,TRUE,,,,Employers Pension,,,,Glue,,
01/05/2025,18,Zen Internet,Broadband,Overhead,,,,,,£30.00,,TRUE,,TRUE,,,,Envelopes,,,,HIPS,,
01/05/2025,18,NCC,Rates and rubbish (rates 125.00),Overhead,,,,,,£380.00,,TRUE,,TRUE,,,,First Fix Plastics,,,,Ink,,
01/05/2025,18,Premium Credit,NBNE Insurance,Overhead,,,,,,£750.00,,TRUE,,TRUE,,,,Gas,,,,Mechanics,,
01/05/2025,18,Zen Stores,D2C tool,Overhead,,,,,,£179.00,,TRUE,,TRUE,,,,Grafityp,,,,Overhead,,
01/05/2025,18,Subscription,MechEng TF,Overhead,,,,,,£36.19,,TRUE,,TRUE,,,,Granthams GT Ltd,,,,Overlaminate,,
01/05/2025,18,IONOS,Email and web hosting,Overhead,,,,,,£0.00,,TRUE,,TRUE,,,,Kite Packaging,,,,Packing & Admin,,
01/05/2025,18,EzViz,"Security Camera Data, Monthly fee",Overhead,,,,,,£4.99,,TRUE,,TRUE,,,,LaserPly,,,,Sheet material,,
01/05/2025,18,Canva,Design software,Overhead,,,,,,£10.00,,TRUE,,TRUE,,,,Longforte,,,,PPE,,
01/05/2025,18,Microsoft,Software,Overhead,,,,,,£7.99,,TRUE,,TRUE,,,,Metal Supermarkets,,,,Sheet material,,
01/05/2025,18,Royal Mail,D2C shipping estimate for month,Shipping,,,,,,"£5,000.00",,TRUE,,TRUE,,,,Longforte,,,,Shipping,,
01/05/2025,18,DHL,F2C shipping estimate for month,Shipping,,,,,,£800.00,,TRUE,,TRUE,,,,Screwfix,,,,Vinyl,,
01/05/2025,,Quartile,Monthly fee - advertising,Overhead,,,,,,£350.00,,TRUE,,TRUE,,,,Novachrome,,,,Sublimation Material,,
01/05/2025,,First Fix Plastics,3 SHEETS OF BLACK ACRYLIC,Acrylic,,,,,,£759.00,,FALSE,Account,FALSE,,,,UPS,,,,CNC BITS,,
01/05/2025,,DHL,CANADA SHIPMENT,Shipping,,,,,,£39.32,,TRUE,Lloyds,FALSE,,,,GRAPHTECGB,,,,,,
01/05/2025,,DHL,AUSTRALIA SHIPMENT,Shipping,,,,,,£59.11,,TRUE,Lloyds,FALSE,,,,BPS,,,,,,
01/05/2025,,Amazon,hand towels,General,,,,,£28.79,£23.99,,FALSE,Lloyds,FALSE,,,,DHL,,,,,,
01/05/2025,,Amazon,IPA cleaning alchohol,General,,,,,£15.57,£12.97,,FALSE,Lloyds,FALSE,,,,TRADESIGNZ,,,,,,
01/05/2025,,Amazon,A4 paper,Packing & Admin,,,,,£21.59,£17.99,,FALSE,Lloyds,FALSE,,,,OPTLASERS,,,,,,
01/05/2025,,DHL,usa shipment,Shipping,,,,,,£102.92,,TRUE,Lloyds,FALSE,,,,RENNIE,,,,,,
06/05/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,HSQE,,,,,,
06/05/2025,,TRADESIGNZ,FIXINGS FOR ETHOS,General,,,,,£64.39,£53.66,,FALSE,TF WISE CARD,FALSE,LOCAL,LINK,,WM CURRY AND SONS,,,,,,
06/05/2025,,Amazon,JUBILEE CLIPS FOR ETHOS,General,,,,,£13.28,£11.07,,FALSE,TF Expense,FALSE,LOCAL,LINK,,LABELS 4 YOU.CO.UK,,,,,,
06/05/2025,,First Fix Plastics,BLUE SCM FOR DOVE,Dibond,,,,,£255.60,£213.00,,TRUE,Account,FALSE,LOCAL,,,COLOURBYTE,,,,,,
06/05/2025,,First Fix Plastics,PAVEMENT SWINGER FOR ETHOS,General,,,,,£164.35,£136.96,,TRUE,Account,FALSE,LOCAL,,,COLOURBYTE,,,,,,
06/05/2025,,Amazon,A6 mailers,Packing & Admin,,,,,,£6.00,,TRUE,,FALSE,,,,COLOURBYTE,,,,,,
08/05/2025,,DHL,GERMAN SHIPMENT,Shipping,,,,,,£41.08,,TRUE,Lloyds,FALSE,,,,COLOURBYTE,,,,,,
08/05/2025,,JS Ramsbottom,Brass black,Ink,,,,,,£11.99,,FALSE,Lloyds,FALSE,,,,Quartile,,,,,,
08/05/2025,,JS Ramsbottom,Aluminium black,Ink,,,,,£27.67,£11.99,,FALSE,Lloyds,FALSE,,LINK,,JS Ramsbottom,,,,,,
08/05/2025,,Kite Packaging,A4 BOARD BACKED ENVELOPES,Packing & Admin,,,,,,£45.63,,TRUE,Account,FALSE,,,,,,,,,,
08/05/2025,,Kite Packaging,SIZE 1 KITE MAILERS,Packing & Admin,,,,,,£12.51,,TRUE,Account,FALSE,,,,,,,,,,
08/05/2025,,Kite Packaging,CLEAR TAPE,Packing & Admin,,,,,,£4.50,,TRUE,Account,FALSE,,,,,,,,,,
08/05/2025,,Kite Packaging,BROWN TAPE,Packing & Admin,,,,,£95.58,£4.50,,TRUE,Account,FALSE,,LINK,,,,,,,,
09/05/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
09/05/2025,,Kite Packaging,SINGLE WALL CARDBOARD,Packing & Admin,,,,,£122.47,£102.06,,TRUE,Account,FALSE,,LINK,,,,,,,,
10/05/2025,,Amazon,Cleaning swabs for machines,General,,,,,£16.90,£14.08,,TRUE,Lloyds,FALSE,,,,,,,,,,
10/05/2025,,Amazon,Soda crystaks,General,,,,,,£8.00,,TRUE,Lloyds,FALSE,,,,,,,,,,
12/05/2025,,First Fix Plastics,2 x 8'x2' ACM panels,General,,,,,,£25.00,,TRUE,Account,FALSE,LOCAL,,,,,,,,,
13/05/2025,,Screwfix,4 CANS OF SPRAY ADHESIVE,Adhesive,,,,,,£17.00,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
13/05/2025,,Amazon,12 Blue rolls,General,,,,,£13.99,£11.66,,TRUE,Lloyds,FALSE,,,,,,,,,,
13/05/2025,,Metal Supermarkets,Copper Sheet C106 2mm,Sheet material,,,,,£158.82,£132.35,,TRUE,,FALSE,,,,,,,,,,
13/05/2025,,Novachrome,Silver sub x 75 sheets,Sublimation Material,,,,,£266.92,£249.30,,TRUE,Lloyds,FALSE,,would not let me save invoice,,,,,,,,
13/05/2025,,DHL,CANADA SHIPMENT,Shipping,,,,,,£65.35,,TRUE,Lloyds,FALSE,,,,,,,,,,
14/05/2025,,RENNIE,CNC BITS,CNC BITS,,,,,£127.99,£99.67,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
14/05/2025,,UPS,UK SHIPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
14/05/2025,,First Fix Plastics,White MD5 vinyl,Vinyl,,,,,,£130.00,APPROX?,TRUE,Account,,,,,,,,,,,
14/05/0205,,First Fix Plastics,2 sheets of black 5mm acrylic cut into thirds,Acrylic,,,,,,£506.00,,TRUE,Account,FALSE,,,,,,,,,,
14/05/2025,,First Fix Plastics,1 sheet of white double sided dibond,Dibond,,,,,,£45.00,APPROX?,TRUE,Account,FALSE,,,,,,,,,,
15/05/2025,,TROTEC,Brass,Sheet material,,,,,£244.20,£203.50,,TRUE,Account,FALSE,,,,,,,,,,
16/05/2025,,First Fix Plastics,4 sheets of white single sided dibond at 8x4,Dibond,,,,,,£100.00,,TRUE,Account,FALSE,,,,,,,,,,
16/05/2025,,First Fix Plastics,2 sheets of black 5mm acrylic into thirds,Acrylic,,,,,,£506.00,,TRUE,Account,FALSE,,,,,,,,,,
16/05/2025,,First Fix Plastics,1 sheet of clear 5mm acrylic into thirds,Acrylic,,,,,,£110.00,,TRUE,Account,FALSE,,,,,,,,,,
16/05/2025,,DHL,USA Shipment,Shipping,,,,,,£428.01,,TRUE,Lloyds,FALSE,,,,,,,,,,
16/05/2025,,Screwfix,Wall plugs for uk stock,General,,,,"1,000",,£14.99,,TRUE,Lloyds,FALSE,,,,,,,,,,
16/05/2025,,Screwfix,screws for uk stock,General,,,,2 PACKS,,£16.98,,TRUE,Lloyds,FALSE,,,,,,,,,,
16/05/2025,,Screwfix,batteries AA,General,,,,1 PACK,,£8.79,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
19/05/2025,,First Fix Plastics,3 SHEETS OF WHITE DIBOND 8X3,Dibond,,,,,,£75.00,,TRUE,Account,FALSE,,,,,,,,,,
19/05/2025,,First Fix Plastics,1 SHEET OF WHITE DOUBLE SIDED DIBOND AT 610 X1220,Dibond,,,,,,£45.00,APPROX,TRUE,Account,FALSE,,,,,,,,,,
19/05/2025,,Kite Packaging,A4 BOARD BACKED ENVELOPES,Packing & Admin,,,,,,£97.58,,TRUE,Account,FALSE,,,,,,,,,,
19/05/2025,,Kite Packaging,cardboard sheets,Packing & Admin,,,,,£214.52,£81.18,,TRUE,Account,FALSE,,LINK,,,,,,,,
20/05/2025,,UPS,UK ShiPMENT,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,,,,,,,
21/05/2025,,Novachrome,SILVER SUB x 25 sheets,Sublimation Material,,,,,,£83.10,,TRUE,Lloyds,FALSE,,,,,,,,,,
21/05/2025,,Novachrome,WHITE SUB X 50 SHEETS,Sublimation Material,,,,,£244.72,£144.00,,TRUE,Lloyds,FALSE,,LINK,,,,,,,,
22/05/2025,,First Fix Plastics,One sheet of black 5mm acrylic cut into thirds,Acrylic,,,,,,£253.00,,TRUE,Account,FALSE,,,,,,,,,,
22/05/2025,,First Fix Plastics,One sheet of clear 5mm acrylic 1m x 1m,Acrylic,,,,,,£120.00,sent in error - we can use,FALSE,Account,FALSE,,,,,,,,,,
22/05/2025,,First Fix Plastics,One roll of masking tape,Glue,,,,,,£53.00,,TRUE,Account,FALSE,,,,,,,,,,
22/05/2025,,First Fix Plastics,10m Medium Sign Channel,Fixings,,,,,,£35.00,,FALSE,Account,FALSE,,,,,,,,,,
22/05/2025,,First Fix Plastics,Sign Channel Clips,Fixings,,,,,,£8.16,,FALSE,Account,FALSE,,,,,,,,,,
26/05/2025,,Novachrome,Silver Sub x 75 sheets,Sublimation Material,,,,,£266.92,£249.30,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
26/05/2025,,Granthams GT Ltd,CYAN INK ROLAND,Ink,,,,,,£76.95,,FALSE,Lloyds,FALSE,,,,,,,,,,
26/05/2025,,Granthams GT Ltd,YELLOW INK ROLAND,Ink,,,,,,£76.95,,FALSE,Lloyds,FALSE,,,,,,,,,,
26/05/2025,,Granthams GT Ltd,RED INK ROLAND,Ink,,,,,£293.76,£76.95,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
26/05/2025,,Envelopes,RAOUL BAGS - 4000,Packing & Admin,,,,,,£88.08,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
27/06/2025,,Screwfix,SPRAY ADHESIVE,Glue,,,,,,£17.00,,FALSE,Lloyds,FALSE,,LINK,,,,,,,,
28/05/2025,,Amazon,Bin Bags - 200,General,,,,,£11.40,£9.50,JO TO ORDER,FALSE,Lloyds,FALSE,,,,,,,,,,
28/05/2025,,GRAPHTECGB,Mutoh varnish -- 800ml,Ink,,,,,,£140.00,APPROX???,FALSE,,FALSE,,,,,,,,,,
28/05/2025,,GRAPHTECGB,Mutoh White - 500ml,Ink,,,,,,£140.00,APPROX???,FALSE,,FALSE,,,,,,,,,,
29/05/2025,,DHL,CANADA SHIPMENT,Shipping,,,,,,£87.39,,FALSE,,FALSE,,,,,,,,,,
